kshnoa2	kshnma2	sdtcda2	seqnoa2	stnnoa2	stnnma2	buinoa2	buinma2	blttpa2	jikcna2	tistda2	tilowa2	tiuppa2	tolmda2	tolida2	tolsna2	unitta2	picfla2	bhnsna2	bhnifa2	sttcda2	sstdta2	ssttma2	estdta2	esttma2
001	5kVA	20230110083000	1	工程2	碍盤配線・固定	005	碍盤配線　5k・10k	真鍮ナットM5	6	250	200	300	STC400CN2-BT	1	000001A	cN･m	005-007_碍盤配線固定.png			2	2023/1/10	08:30:00	2023/1/10	08:31:00
001	5kVA	20230110083000	2	工程2	碍盤配線・固定	007	碍盤配固定　5k～100k	鉄ナベM6	2	490	390	590	CSPFDD25N3-10NX10D	30	000030A	N･m	005-007_碍盤配線固定.png			2	2023/1/10	08:32:00	2023/1/10	08:33:00
001	5kVA	20230110083000	3	工程3	ジャンパー	008	ジャンパー　5k～100k	真鍮ナットM5	2	120	90	150	STC400CN2-BT	1	000001A	cN･m	008_ジャンパー.png			2	2023/1/10	08:34:00	2023/1/10	08:35:00
001	5kVA	20230110083000	4	工程3.5	ダボ締め	009	タンキング固定 5k	鉄六角M12	2	44.1	34.3	53.9	CSPFDD200N3X19D	17	000017A	N･m	009_タンキング固定 5k.png			2	2023/1/10	08:36:00	2023/1/10	08:37:00
002	10kVA	20230110084000	1	工程2	碍盤配線・固定	005	碍盤配線　5k・10k	真鍮ナットM5	6	250	200	300	STC400CN2-BT	1	000001A	cN･m	005-007_碍盤配線固定.png			2	2023/1/10	08:40:00	2023/1/10	08:41:00
002	10kVA	20230110084000	2	工程2	碍盤配線・固定	007	碍盤配固定　5k～100k	鉄ナベM6	2	490	390	590	CSPFDD25N3-10NX10D	30	000030A	N･m	005-007_碍盤配線固定.png			2	2023/1/10	08:42:00	2023/1/10	08:43:00
002	10kVA	20230110084000	3	工程3	ジャンパー	008	ジャンパー　5k～100k	真鍮ナットM5	2	120	90	150	STC400CN2-BT	1	000001A	cN･m	008_ジャンパー.png			2	2023/1/10	08:44:00	2023/1/10	08:45:00
002	10kVA	20230110084000	4	工程3.5	ダボ締め	010	タンキング固定 10k	鉄六角M12	2	44.1	34.3	53.9	CSPFDD200N3X19D	17	000017A	N･m	010_タンキング固定 10k.png			2	2023/1/10	08:46:00	2023/1/10	08:47:00
003	20kVA	20230110085000	1	工程2	碍盤配線・固定	006	碍盤配線　20k以上	真鍮ナットM5	6	290	230	350	STC400CN2-BT	1	000001A	cN･m	005-007_碍盤配線固定.png			2	2023/1/10	08:50:00	2023/1/10	08:51:00
003	20kVA	20230110085000	2	工程2	碍盤配線・固定	007	碍盤配固定　5k～100k	鉄ナベM6	2	490	390	590	CSPFDD25N3-10NX10D	30	000030A	N･m	005-007_碍盤配線固定.png			2	2023/1/10	08:52:00	2023/1/10	08:53:00
