kshnod2	kshnmd2	sernod2	seqnod2	stnnod2	stnnmd2	buinod2	buinmd2	blttpd2	jikcnd2	tistdd2	tilowd2	tiuppd2	tolmdd2	tolidd2	tolsnd2	unittd2	picfld2	bhnsnd2	bhnifd2	sttcdd2	sstdtd2	ssttmd2	estdtd2	esttmd2
001	5kVA	HG0001	5	工程4	一次碍管固定・接続/二次碍管固定・接続	018	二次固定　5k	鉄ナベM6	9	220	190	260	STC400CN2-BT	1	000001A	cN･m	018_二次固定 5k.png			2	2023/1/10	08:36:00	2023/1/10	08:37:00
001	5kVA	HG0001	6	工程4	一次碍管固定・接続/二次碍管固定・接続	030	二次配線　5k	真鍮ナットM10	3	11.8	9.3	14.3	ACQSPFD25N3	21	000021A	N･m	030_二次配線 5k.png			2	2023/1/10	08:38:00	2023/1/10	08:39:00
001	5kVA	HG0001	7	工程4	一次碍管固定・接続/二次碍管固定・接続	037	一次固定　5k	鉄ナベM6	6	150	120	180	STC400CN2-BT	1	000001A	cN･m	037_一次固定 5k.png			2	2023/1/10	08:40:00	2023/1/10	08:41:00
001	5kVA	HG0001	8	工程4	一次碍管固定・接続/二次碍管固定・接続	046	一次配線　5k	真鍮ナットM5	2	150	120	180	STC400CN2-BT	1	000001A	cN･m	046_一次配線 5k.png			2	2023/1/10	08:42:00	2023/1/10	08:43:00
001	5kVA	HG0001	9	工程5	注油後カバー締め	056	注油後カバー締め　5k～30k	アイボルトM12	3	41.7	39.2	44.2	CEM100N3X15D-BTS	27	000027A	N･m	056_注油後カバー締め 5k～30k.png			2	2023/1/10	08:44:01	2023/1/10	08:45:01
001	5kVA	HG0001	10	工程6	出荷前カバー締め	059	出荷前カバー締め確認　5k～30k	アイボルトM12	3	41.7	39.2	44.2	CEM100N3X15D-BTS	27	000027A	N･m	059_出荷前カバー締め確認 5k～30k.png			2	2023/1/10	08:46:01	2023/1/10	08:47:01
002	10kVA	HG0002	5	工程4	一次碍管固定・接続/二次碍管固定・接続	019	二次固定　10k	鉄ナベM6	9	220	190	260	STC400CN2-BT	1	000001A	cN･m	019_二次固定 10k.png			2	2023/1/10	08:46:00	2023/1/10	08:47:00
002	10kVA	HG0002	6	工程4	一次碍管固定・接続/二次碍管固定・接続	031	二次配線　10k	真鍮ナットM10	3	11.8	9.3	14.3	ACQSPFD25N3	21	000021A	N･m	031_二次配線 10k.png			2	2023/1/10	08:48:00	2023/1/10	08:49:00
002	10kVA	HG0002	7	工程4	一次碍管固定・接続/二次碍管固定・接続	038	一次固定　10k	鉄ナベM6	6	150	120	180	STC400CN2-BT	1	000001A	cN･m	038_一次固定 10k.png			2	2023/1/10	08:50:00	2023/1/10	08:51:00
002	10kVA	HG0002	8	工程4	一次碍管固定・接続/二次碍管固定・接続	047	一次配線　10k	真鍮ナットM5	2	150	120	180	STC400CN2-BT	1	000001A	cN･m	047_一次配線 10k.png			2	2023/1/10	08:52:00	2023/1/10	08:53:00
002	10kVA	HG0002	9	工程5	注油後カバー締め	056	注油後カバー締め　5k～30k	アイボルトM12	3	41.7	39.2	44.2	CEM100N3X15D-BTS	27	000027A	N･m	056_注油後カバー締め 5k～30k.png			2	2023/1/10	08:54:00	2023/1/10	08:55:00
