kshnod3	kshnmd3	sernod3	seqnod3	stnnod3	stnnmd3	buinod3	buinmd3	jikcnd3	jiknod3	mevald3	jgecdd3	jgenmd3	ngvald3	tolsnd3	medayd3	metimd3	wkrnod3	wkrnmd3
001	5kVA	HG0001	5	工程4	一次碍管固定・接続/二次碍管固定・接続	018	二次固定　5k	9	1	220	1	OK		000001A	2023/1/10	08:36:00	2023/1/10	08:37:00
001	5kVA	HG0001	5	工程4	一次碍管固定・接続/二次碍管固定・接続	018	二次固定　5k	9	2	220	1	OK		000001A	2023/1/10	08:36:00	2023/1/10	08:37:00
001	5kVA	HG0001	5	工程4	一次碍管固定・接続/二次碍管固定・接続	018	二次固定　5k	9	3	220	1	OK		000001A	2023/1/10	08:36:00	2023/1/10	08:37:00
001	5kVA	HG0001	5	工程4	一次碍管固定・接続/二次碍管固定・接続	018	二次固定　5k	9	4	220	1	OK		000001A	2023/1/10	08:36:00	2023/1/10	08:37:00
001	5kVA	HG0001	5	工程4	一次碍管固定・接続/二次碍管固定・接続	018	二次固定　5k	9	5	220	1	OK		000001A	2023/1/10	08:36:00	2023/1/10	08:37:00
001	5kVA	HG0001	5	工程4	一次碍管固定・接続/二次碍管固定・接続	018	二次固定　5k	9	6	220	1	OK		000001A	2023/1/10	08:36:00	2023/1/10	08:37:00
001	5kVA	HG0001	5	工程4	一次碍管固定・接続/二次碍管固定・接続	018	二次固定　5k	9	7	220	1	OK		000001A	2023/1/10	08:36:00	2023/1/10	08:37:00
001	5kVA	HG0001	5	工程4	一次碍管固定・接続/二次碍管固定・接続	018	二次固定　5k	9	8	220	1	OK		000001A	2023/1/10	08:36:00	2023/1/10	08:37:00
001	5kVA	HG0001	5	工程4	一次碍管固定・接続/二次碍管固定・接続	018	二次固定　5k	9	9	220	1	OK		000001A	2023/1/10	08:36:00	2023/1/10	08:37:00
001	5kVA	HG0001	6	工程4	一次碍管固定・接続/二次碍管固定・接続	030	二次配線　5k	3	1	11.8	1	OK		000021A	2023/1/10	08:38:00	2023/1/10	08:39:00
001	5kVA	HG0001	6	工程4	一次碍管固定・接続/二次碍管固定・接続	030	二次配線　5k	3	2	11.8	1	OK		000021A	2023/1/10	08:38:00	2023/1/10	08:39:00
001	5kVA	HG0001	6	工程4	一次碍管固定・接続/二次碍管固定・接続	030	二次配線　5k	3	3	11.8	1	OK		000021A	2023/1/10	08:38:00	2023/1/10	08:39:00
001	5kVA	HG0001	7	工程4	一次碍管固定・接続/二次碍管固定・接続	037	一次固定　5k	6	1	150	1	OK		000001A	2023/1/10	08:40:00	2023/1/10	08:41:00
001	5kVA	HG0001	7	工程4	一次碍管固定・接続/二次碍管固定・接続	037	一次固定　5k	6	2	150	1	OK		000001A	2023/1/10	08:40:00	2023/1/10	08:41:00
001	5kVA	HG0001	7	工程4	一次碍管固定・接続/二次碍管固定・接続	037	一次固定　5k	6	3	150	1	OK		000001A	2023/1/10	08:40:00	2023/1/10	08:41:00
001	5kVA	HG0001	7	工程4	一次碍管固定・接続/二次碍管固定・接続	037	一次固定　5k	6	4	150	1	OK		000001A	2023/1/10	08:40:00	2023/1/10	08:41:00
001	5kVA	HG0001	7	工程4	一次碍管固定・接続/二次碍管固定・接続	037	一次固定　5k	6	5	150	1	OK		000001A	2023/1/10	08:40:00	2023/1/10	08:41:00
001	5kVA	HG0001	7	工程4	一次碍管固定・接続/二次碍管固定・接続	037	一次固定　5k	6	6	150	1	OK		000001A	2023/1/10	08:40:00	2023/1/10	08:41:00
001	5kVA	HG0001	8	工程4	一次碍管固定・接続/二次碍管固定・接続	046	一次配線　5k	2	1	150	1	OK		000001A	2023/1/10	08:42:00	2023/1/10	08:43:00
001	5kVA	HG0001	8	工程4	一次碍管固定・接続/二次碍管固定・接続	046	一次配線　5k	2	2	150	1	OK		000001A	2023/1/10	08:42:00	2023/1/10	08:43:00
001	5kVA	HG0001	9	工程5	注油後カバー締め	056	注油後カバー締め　5k～30k	3	1	41.7	1	OK		000027A	2023/1/10	08:44:01	2023/1/10	08:45:01
001	5kVA	HG0001	9	工程5	注油後カバー締め	056	注油後カバー締め　5k～30k	3	2	41.7	1	OK		000027A	2023/1/10	08:44:01	2023/1/10	08:45:01
001	5kVA	HG0001	9	工程5	注油後カバー締め	056	注油後カバー締め　5k～30k	3	3	41.7	1	OK		000027A	2023/1/10	08:44:01	2023/1/10	08:45:01
001	5kVA	HG0001	10	工程6	出荷前カバー締め	059	出荷前カバー締め確認　5k～30k	3	1	41.7	1	OK		000027A	2023/1/10	08:46:01	2023/1/10	08:47:01
001	5kVA	HG0001	10	工程6	出荷前カバー締め	059	出荷前カバー締め確認　5k～30k	3	2	41.7	1	OK		000027A	2023/1/10	08:46:01	2023/1/10	08:47:01
001	5kVA	HG0001	10	工程6	出荷前カバー締め	059	出荷前カバー締め確認　5k～30k	3	3	41.7	1	OK		000027A	2023/1/10	08:46:01	2023/1/10	08:47:01
002	10kVA	HG0002	5	工程4	一次碍管固定・接続/二次碍管固定・接続	019	二次固定　10k	9	1	220	1	OK		000001A	2023/1/10	08:46:00	2023/1/10	08:47:00
002	10kVA	HG0002	5	工程4	一次碍管固定・接続/二次碍管固定・接続	019	二次固定　10k	9	2	220	1	OK		000001A	2023/1/10	08:46:00	2023/1/10	08:47:00
002	10kVA	HG0002	5	工程4	一次碍管固定・接続/二次碍管固定・接続	019	二次固定　10k	9	3	220	1	OK		000001A	2023/1/10	08:46:00	2023/1/10	08:47:00
002	10kVA	HG0002	5	工程4	一次碍管固定・接続/二次碍管固定・接続	019	二次固定　10k	9	4	220	1	OK		000001A	2023/1/10	08:46:00	2023/1/10	08:47:00
002	10kVA	HG0002	5	工程4	一次碍管固定・接続/二次碍管固定・接続	019	二次固定　10k	9	5	220	1	OK		000001A	2023/1/10	08:46:00	2023/1/10	08:47:00
002	10kVA	HG0002	5	工程4	一次碍管固定・接続/二次碍管固定・接続	019	二次固定　10k	9	6	220	1	OK		000001A	2023/1/10	08:46:00	2023/1/10	08:47:00
002	10kVA	HG0002	5	工程4	一次碍管固定・接続/二次碍管固定・接続	019	二次固定　10k	9	7	220	1	OK		000001A	2023/1/10	08:46:00	2023/1/10	08:47:00
002	10kVA	HG0002	5	工程4	一次碍管固定・接続/二次碍管固定・接続	019	二次固定　10k	9	8	220	1	OK		000001A	2023/1/10	08:46:00	2023/1/10	08:47:00
002	10kVA	HG0002	5	工程4	一次碍管固定・接続/二次碍管固定・接続	019	二次固定　10k	9	9	220	1	OK		000001A	2023/1/10	08:46:00	2023/1/10	08:47:00
