tolsnm4	tolidm4	tolmdm4	unittm4
000001A	1	STC400CN2-BT	cN･m
000002A	2	STC400CN2-BT	cN･m
000003A	3	STC400CN2-BT	cN･m
000004A	4	STC400CN2-BT	cN･m
000005A	5	STC400CN2-BT	cN･m
000006A	6	STC400CN2-BT	cN･m
000007A	7	STC400CN2-BT	cN･m
000008A	8	STC400CN2-BT	cN･m
000009A	9	STC400CN2-BT	cN･m
000010A	10	STC400CN2-BT	cN･m
000011A	11	STC400CN2-BT	cN･m
000012A	12	STC400CN2-BT	cN･m
000013A	13	STC400CN2-BT	cN･m
000014A	14	CSPFDD140N3X15D	N･m
000015A	15	CSPFDD140N3X15D	N･m
000016A	16	CSPFDD140N3X15D	N･m
000017A	17	CSPFDD200N3X19D	N･m
000018A	18	CSPFDD200N3X19D	N･m
000019A	19	ACQSPFD10N3	N･m
000020A	20	ACQSPFD10N3	N･m
000021A	21	ACQSPFD25N3	N･m
000022A	22	ACQSPFD25N3	N･m
000023A	23	ACQSPFD25N3	N･m
000024A	24	ACQSPFD100N3	N･m
000025A	25	ACQSPFD100N3	N･m
000026A	26	ACQSPFD100N3	N･m
000027A	27	CEM100N3X15D-BTS	N･m
000028A	28	CEM100N3X15D-BTS	N･m
000029A	29	CEM100N3X15D-BTS	N･m
000030A	30	CSPFDD25N3-10NX10D	N･m
000031A	31	CSPFDD25N3-10NX10D	N･m
